dataset,model,mode,seed,scope,axis,selected_count,axis_selected_count,axis_selected_fraction,selected_true_mean,axis_true_mean,feedback_deficit,conflict_score,conflict_rank
BEAR B70,rf_ucb,clean,9,seed,PrinterNozzle=1,200,6,0.03,26.579105117950004,20.691236978333333,5.887868139616671,0.17663604418850012,5
BEAR B70,rf_ucb,clean,9,seed,PrinterNumber=2,200,6,0.03,26.579105117950004,20.691236978333333,5.887868139616671,0.17663604418850012,6
BEAR B70,rf_ucb,clean,9,seed,DecisionPolicy=0,200,5,0.025,26.579105117950004,28.438575653999997,-1.8594705360499937,0.0,7
BEAR B70,rf_ucb,clean,9,seed,DecisionPolicy=8,200,181,0.905,26.579105117950004,26.880368784475138,-0.30126366652513425,0.0,8
BEAR B70,rf_ucb,clean,9,seed,NozzleSize=0.75,200,194,0.97,26.579105117950004,26.76120413257732,-0.18209901462731537,0.0,9
BEAR B70,rf_ucb,clean,9,seed,PrinterNozzle=0,200,194,0.97,26.579105117950004,26.76120413257732,-0.18209901462731537,0.0,10
BEAR B70,rf_ucb,clean,9,seed,PrinterNumber=1,200,124,0.62,26.579105117950004,28.816828765403226,-2.2377236474532225,0.0,11
BEAR B70,rf_ucb,random_swap,0,seed,PrinterNumber=3,200,81,0.405,25.553639735925,22.541916092839507,3.0117236430854923,1.2197480754496244,1
BEAR B70,rf_ucb,random_swap,0,seed,DecisionPolicy=7,200,16,0.08,25.553639735925,20.36081958875,5.192820147174999,0.4154256117739999,2
BEAR B70,rf_ucb,random_swap,0,seed,PrinterNumber=4,200,15,0.075,25.553639735925,20.778987813666664,4.774651922258336,0.3580988941693752,3
BEAR B70,rf_ucb,random_swap,0,seed,NozzleSize=0.5,200,5,0.025,25.553639735925,20.52985292,5.023786815925,0.125594670398125,4
BEAR B70,rf_ucb,random_swap,0,seed,PrinterNozzle=1,200,5,0.025,25.553639735925,20.52985292,5.023786815925,0.125594670398125,5
BEAR B70,rf_ucb,random_swap,0,seed,PrinterNumber=2,200,5,0.025,25.553639735925,20.52985292,5.023786815925,0.125594670398125,6
BEAR B70,rf_ucb,random_swap,0,seed,DecisionPolicy=8,200,183,0.915,25.553639735925,25.9767074260929,-0.42306769016790113,0.0,7
